id,name,description,casNumber,packSize,price,image
270458-1L,"1-Methyl-2-pyrrolidinone CHROMASOLVâ„¢ Plus, for HPLC, â‰¥99%",1-Methyl-2-pyrrolidone; N-Methyl-2-pyrrolidone; NMP,872-50-4,1L,10899,https://lab.honeywell.com/shop/media/catalog/product/cache/ae13028c52290a7248189008ed57c9bd/8/d/8dff797f7b8151e571e80c683d5d3db2a0275e0f4d68445f4cb68187f0ee0b8c.jpeg
34856-2.5L,"Dichloromethane CHROMASOLVâ„¢, for HPLC, â‰¥99.8%, contains amylene as stabilizer",Methylene chloride,75-09-2,1L,8260,https://lab.honeywell.com/shop/media/catalog/product/cache/ae13028c52290a7248189008ed57c9bd/9/7/97396f625fd0897ac7566fc410ee29722c7d98a6601fe7dd6959ba39b26e449d.jpeg
34488-2.5L,"Dichloromethane CHROMASOLV™, for pesticide",Developed especially for the application in residue analysis of pesticides and other low-volatile substances using GC,75-09-2,4x4L,60413,https://lab.honeywell.com/shop/media/catalog/product/cache/ae13028c52290a7248189008ed57c9bd/9/7/97396f625fd0897ac7566fc410ee29722c7d98a6601fe7dd6959ba39b26e449d.jpeg
34730-1L,HYDRANAL™ - Solvent E Medium for volumetric two-component Karl Fischer titration (ethanol-based),"Hydranal™ is the most trusted brand in Karl Fischer titration because of its dedication to quality, consistency and continued innovation.",68007-08-09,1L,14408,https://lab.honeywell.com/shop/media/catalog/product/cache/ae13028c52290a7248189008ed57c9bd/0/c/0cebdabb6dc8868123d151b76f52485684e9b23bea23a96fda19c43eae6efbaf.jpeg
304-1L,"N-Methylpyrrolidone B&J Brand™, for HPLC, GC and spectrophotometry, >99.5%",Nmp; N-Methyl-2-Pyrrolidone; N-Methyl-2-Pyrrolidinone,872-50-4,6x1L,140859,https://lab.honeywell.com/shop/media/catalog/product/placeholder/default/honeywell.jpg
34871-1L,"1-Propanol CHROMASOLV™, for HPLC, ?99.9%","For HPLC and organic synthesis, High-purity, multipurpose solvents",71-23-8,1L,6641,https://lab.honeywell.com/shop/media/catalog/product/cache/ae13028c52290a7248189008ed57c9bd/5/0/501fb4e461b7fdb6875155774bbd694e063e00137d59347f73b4abfb0113b237.jpeg
17844-250G,"Sodium phosphate monobasic for HPLC, ?99.0%",Monosodium dihydrogen orthophosphate; Monosodium phosphate; Sodium dihydrogen phosphate,7558-80-7,250G,42932,https://lab.honeywell.com/shop/media/catalog/product/cache/ae13028c52290a7248189008ed57c9bd/2/4/245ad94789c68088d72f9389cc305434fcbd01963e82223915280d5344d44228.jpeg
34816-1L-SC,HYDRANAL™ - Composite 5 K Titrating agent for volumetric one-component Karl Fischer titration in aldehydes and ketones (methanol free),Karl Fischer reagent,mixture,1L,18945,https://lab.honeywell.com/shop/media/catalog/product/cache/ae13028c52290a7248189008ed57c9bd/0/e/0e7afefc59c5323cae7f80a10dcf440ed47f418672a201acebf61f601f9b98a0.jpeg
34738-1L,HYDRANAL™ - KetoSolver Medium for volumetric one-component Karl Fischer titration in aldehydes and ketones (methanol free),Karl Fischer medium,mixture,1L,14266,https://lab.honeywell.com/shop/media/catalog/product/cache/ae13028c52290a7248189008ed57c9bd/f/7/f7adbd4443739f7b41827e33ddf129613d8432dfff8aff83a5993676de7fdf7a.jpeg
31232-250G,Iron(III) chloride 6H2O,Ferric chloride hexahydrate,10025-77-1,250G,6178,https://lab.honeywell.com/shop/media/catalog/product/cache/ae13028c52290a7248189008ed57c9bd/a/5/a5c0379febc11959eaf81a1e1b86f7e13b6108b02a69b58fadddc0100c5f3c63.jpeg
